0.17813,0.14021,18.419
0.1742,0.082514,4.4155
0.21726,0.13588,18.419
0.2591,0.13088,18.419
0.18715,0.19157,18.419
0.19063,0.1298,4.4155
0.23145,0.18448,18.419
0.25495,0.12284,4.4155
0.27872,0.17635,18.419
0.32783,0.1674,18.419
0.22397,0.28399,48.278
0.2081,0.21415,4.4155
0.24471,0.25395,18.419
0.26261,0.27354,48.278
0.28644,0.19884,4.4155
0.29797,0.24051,18.419
0.30272,0.2622,48.278
0.36941,0.18108,4.4155
0.35288,0.2259,18.419
0.40795,0.21059,18.419
0.23784,0.35662,72.065
0.25332,0.35108,18.419
0.26938,0.34523,48.278
0.27473,0.34327,72.065
NaN,NaN,0
0.31273,0.32902,4.4155
0.31273,0.32902,18.419
0.31273,0.32902,48.278
0.31273,0.32902,100
0.31273,0.32902,72.065
0.41044,0.2905,4.4155
0.37353,0.30534,18.419
0.3568,0.31196,48.278
0.43376,0.28095,18.419
0.49181,0.25666,18.419
0.27022,0.43268,48.278
0.27623,0.41829,72.065
0.3075,0.52435,4.4155
0.31561,0.44408,18.419
0.31654,0.41004,48.278
0.31652,0.39917,72.065
0.41791,0.4496,4.4155
0.38179,0.40728,18.419
0.36355,0.38634,48.278
0.35735,0.37928,72.065
0.52174,0.37656,4.4155
0.44682,0.36993,18.419
0.41032,0.36214,48.278
0.50873,0.33341,18.419
0.56618,0.29873,18.419
0.29736,0.57731,18.419
0.31049,0.50294,48.278
0.31313,0.47888,72.065
0.36753,0.52508,18.419
0.35998,0.47135,48.278
0.35593,0.45307,72.065
0.43671,0.47238,18.419
0.4092,0.43925,48.278
0.39861,0.42682,72.065
0.50246,0.42134,18.419
0.4572,0.40735,48.278
0.56315,0.37345,18.419
0.61793,0.32963,18.419
0.30023,0.56426,72.065
0.34264,0.56147,48.278
0.34455,0.53221,72.065
0.39381,0.52123,48.278
0.38886,0.49964,72.065
0.44388,0.48131,48.278
0.43244,0.46714,72.065
0.49196,0.4425,48.278
