"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71"
"eggplant",0.0434531109863378,0.124727447764728,0.708908505714988,0.763177055551864,0.0447671247869026,0.158714644668445,0.5703539171769,0.987040141641316,0.803072472552699,0.415614276022536,0.0563775373196228,0.0985191776766124,0.134796095655981,0.130992795091605,1,0.672752387522023,0.521995395963381,0.783636505161133,0.389903692707332,0.114184773817039,0.0492912669137316,0.137227486161301,0.0799709335165351,0.0520908975160098,0.217517514033544,0.109317270758482,0.132191823845559,0.155348422919695,0.155178122183075,0.183942258654276,0.538294933771869,0.221998189600936,0.110950560402526,0.143271348161681,0.0809900476682087,0.169867166980836,0.132078063945055,0.560970141443434,0.461861835404848,0.343891533991907,0.21161524976399,0.3468817386697,0.207646524661264,0.179958290296766,0.182998819173223,0.157268768344446,0.123655284487872,0.0468484785161147,0.0549270477857402,0.0313644811146012,0.46258884736551,0.420439730745266,0.329105953337821,0.41994687514941,0.347273030476945,0.277500582040171,0.174197987888668,0.111026484542201,0.160271853970948,0.0718798936036636,0.0581518672125943,0.0407095530520761,0.0486362627766066,0.357026782314726,0.365735597679237,0.368985090803627,0.282697463107191,0.170336987905605,0.0859950391164831,0.0733809211267484,0.0572504747460587
"grape",0.098780329422527,0.235891767783441,0.760826754875379,0.713157999417171,0.102912114954737,0.201407460318837,0.612324578459362,0.954269612606304,0.715938402675333,0.406751088549134,0.0692604480509494,0.109282945798025,0.152512529152919,0.10169880756312,0.981609991091193,0.716643881366094,0.504139540748108,0.830738459550103,0.445666254047454,0.251272785671133,0.064543278109831,0.126808360149752,0.0876842117656828,0.0774375631649854,0.00772365354707015,0.0607926161100842,0.055383723629006,0.0541845590593537,0.044983208212146,0.00684567153381678,0.713578962306429,0.258180730091469,0.172467211821306,0.270434552197587,0.209749405018361,0.285039519503203,0.234495171997321,0.461755656517411,0.623272592983192,0.412373341249118,0.220270226819668,0.183338091431671,0.101920193266713,0.0840103659697819,0.0815060316339984,0.138937937102116,0.130696543070469,0.095648483177412,0.19959012518701,0.194242207271073,0.605830171355172,0.568971907198307,0.418789245749607,0.626034618280727,0.544000373276745,0.382131276031075,0.106766584120723,0.116115048869901,0.101611834564411,0.0891047399112017,0.10974493845531,0.116694237650881,0.161115896750233,0.461221604996509,0.57077471084544,0.560387755185381,0.418480505185008,0.315630272245346,0.105601376267,0.105285907279252,0.0874826160541743
"leisure",0.661131588793901,0.597405804897979,0.627371324292381,0.447654971930203,0.646453274440206,0.607442239416698,0.705947406928373,0.465123199120824,0.557202377310004,0.384613400712748,0.686511197488091,0.606414809238753,0.710412257750212,0.770768017136928,0.577760830377884,0.649696869264127,0.66946221283609,0.392391987128863,0.441430458914397,0.380185530443106,0.588749582718794,0.672162259186672,0.694930925824408,0.700978844926149,0.167421440403236,0.227558988586654,0.326988338007281,0.555973116450204,0.516717415137742,0.488631923465363,0.467404937935679,0.523438347344878,0.595238258605783,0.529149140709198,0.359979972323908,0.573081239358569,0.528934020982617,0.514877294384334,0.582152708935203,0.589876799880377,0.623839746732108,0.31331831385813,0.403329244898078,0.520901529795621,0.57324114216662,0.270847299364991,0.505198768557388,0.578622497041057,0.491997049588624,0.386429232965501,0.520797144184093,0.58853183870855,0.532598859051321,0.437659591380487,0.591237829415514,0.560329418555328,0.334051292243739,0.556313235551408,0.646993512896073,0.433772075293513,0.633174036693319,0.395248014234306,0.353635926269128,0.482404951132548,0.512339585205888,0.510235069613785,0.484040995413706,0.556359101070009,0.592704158752019,0.613843581533556,0.509797517768812
"mushroom",0.0604128489849602,0.0771151305103623,0.0620769457895716,0.0620003997555067,0.0621352430648156,0.0930796312324574,0.0707789742004885,0.083364661831978,0.0641721488118309,0.0595193557106318,0.0518193536249272,0.0948867264593639,0.101065943458139,0.163857771092632,0.120641828905625,0.0963501663826819,0.12754215113475,0.104147129749687,0.0868290755975491,0.0873128437314354,0.0575005850618638,0.131524341349467,0.12410135779113,0.0952142452162517,0.377813265082093,0.554373187997771,0.57960423986174,0.572824430178268,0.586563775315891,0.619600757883411,0.200288282005541,0.216531658671151,0.154787951217821,0.0948806702444018,0.0768463820937316,0.121147210692854,0.0774617137023275,0.19333112952868,0.227862161413439,0.19954681260434,0.225130383502075,0.614991710020986,0.776570638232272,0.738405655523814,0.614076915592144,0.555789028112529,0.445399345970739,0.239205100131922,0.139158470297926,0.117661670090116,0.203905877361415,0.133775776563698,0.166228768593425,0.262472576895375,0.229474253726951,0.231981046354259,0.509198165427126,0.478742935243379,0.423988478970726,0.365525382870564,0.255495577627635,0.132839281283708,0.181785059812987,0.125918315472426,0.176198445782915,0.155377102472045,0.177899716827513,0.196519272531475,0.297564315237166,0.286451141072221,0.187963288154372
"peach",0.0339669553414664,0.0293249287045673,0.0459275563770471,0.0851636381444027,0.0251208282251949,0.0424185484410669,0.0502118500760122,0.089973152192774,0.110527085505644,0.160059647680153,0.0194193403137647,0.0345971855676281,0.0327728513117277,0.033747881337302,0.0790680472328403,0.153367203250275,0.209091881328914,0.138918109789762,0.267101304052472,0.217337318721973,0.0259379122146474,0.0757095331277007,0.0397550019020664,0.0564758126368275,0.0302284307611091,0.00648173009944747,0.0182296265246694,0.0442944590685608,0.0604760941525814,0.0522317241309672,0.211993480693702,0.479651309751382,0.677281648830566,0.486702505059072,0.258775233071523,0.0547923434151772,0.0701656354747447,0.119190788141264,0.12810134578848,0.104383998488705,0.114237219130294,0.100549381888473,0.207871458606064,0.364148144912843,0.448933384510244,0.2294892413557,0.678884046649186,0.885549571568159,0.671216773893119,0.334832867358162,0.114756492282199,0.133642391360202,0.100775685580141,0.114686853384215,0.14556712760848,0.193989101314458,0.17792431638834,0.401744996070835,0.534583847690189,0.471088545111633,0.852760358385934,0.45170826151445,0.291661553511699,0.0985804157601005,0.0953308618572619,0.120459435303146,0.129021468773728,0.13898502320361,0.33072434830464,0.452717787188476,0.617029859546198
"reliability",0.53168312102322,0.510351938159165,0.445046599174224,0.453806286556889,0.63303276505463,0.535983893621769,0.64735324726522,0.424127902025057,0.438182160357934,0.377450441598964,0.604580335861662,0.476086905067457,0.580896354681767,0.680995970825081,0.411045692474003,0.487916953578365,0.64331778710743,0.443040946743247,0.485271293320717,0.416098447967651,0.553772224353766,0.674321943169129,0.588463615411586,0.610845868461643,0.215917634547556,0.352626069132934,0.394352389076109,0.777685492229066,0.76840778153056,0.769655927632788,0.477468861268158,0.62917097583597,0.673936519941573,0.635005848912034,0.42917928904525,0.45816574805491,0.443695128755896,0.495669688839954,0.489869521153845,0.592847685738891,0.515746945067745,0.304791932445516,0.37870232628692,0.551805221602179,0.754696845104516,0.367242342318163,0.531636251448797,0.63405063761043,0.569740341364636,0.328512656747105,0.536213572990503,0.458095264201893,0.485509248904163,0.375196968892939,0.605228819521844,0.475999965332706,0.433779710091811,0.685474460075773,0.606213659247809,0.55786552497188,0.585121865167117,0.458758278043135,0.368874911965213,0.349773166505289,0.515871047652518,0.435663809267223,0.407905244781007,0.426062544870216,0.556327939479965,0.651096870098647,0.615083578384461
"safety",0.631867886946447,0.516026989031398,0.492319276228255,0.251522534403396,0.706555266453271,0.566809110940677,0.575016319176671,0.439964460419989,0.383083580840894,0.30489974955301,0.695644028483617,0.581350391631501,0.69802544414482,0.839584760844461,0.425743934190494,0.656954473486031,0.685986179767118,0.289865193699246,0.496979413887019,0.372913418628776,0.565701934173283,0.558843316352808,0.750582268003465,0.735375221408884,0.146741837040972,0.242912367876878,0.348203300113105,0.726438853585482,0.785314063559483,0.89740452171338,0.349260642784373,0.506041570518656,0.722573537803771,0.516227525855711,0.20802236389465,0.528401906128905,0.512061997661072,0.456100941690937,0.730884476143299,0.698202632244936,0.597342924702948,0.224510057256998,0.331922845498004,0.725207650505334,0.757032832131326,0.391429170847025,0.572746303217739,0.613249042545517,0.503142236478205,0.234281585582411,0.49687160330845,0.571771166447385,0.590730867664216,0.550947590805585,0.698475458428839,0.57074062539552,0.470918593522486,0.65637740095747,0.71106054921607,0.486923061677582,0.587005383249457,0.373093621066471,0.205303931507248,0.483823243067184,0.591991813806853,0.516028658315814,0.478922632588362,0.629635622831361,0.653070806852844,0.613166408245171,0.564483523375354
"sleeping",0.660463955763513,0.809775649265885,0.623089079959313,0.348079646227488,0.618298014929336,0.939783976603563,0.781504306982395,0.686305366121831,0.495137128698104,0.179582668690194,0.411018691594514,0.961143356438416,0.959621573862501,0.789382777396208,0.8806783826361,0.682388041509721,0.486194149704865,0.555385522843762,0.334031017487512,0.0988877492720693,0.22221999530672,0.729039008816812,0.541804201962817,0.392075834327923,1,0.911860707817853,0.833449177968422,0.671350590262648,0.359292795612577,0.439790886547691,0.720361945511394,0.542242808074569,0.405874571082176,0.29069414586227,0.0758088390430391,0.315234395041267,0.237550083477001,0.54881680866415,0.493411120944171,0.433696969376819,0.327044855037264,0.575326402326232,0.522264110639844,0.439229275903535,0.366579983518047,0.491797771425493,0.462568431464642,0.268260220028611,0.239870570282188,0,0.414440026828447,0.24592458936953,0.176346735979715,0.430950769030278,0.243462562067447,0.25703305727505,0.446658613490716,0.296675796817988,0.235264134920058,0.303792554196979,0.217808077331661,0.183876465334947,0.0034318728916413,0.130512499513608,0.150138042726793,0.0963957359430716,0.152616486414371,0.0990552919047033,0.147285056747589,0.171306018910335,0.124631492382835
"speed",0.621362986656393,0.414955886655857,0.446543866915304,0.600448280873865,0.513109569475368,0.267200196119066,0.410206236063665,0.252854439556191,0.408191812106457,0.795864424471399,0.68810689025334,0.097908556583594,0.20446586297289,0.320700404592427,0.0313625012093327,0.276783609675708,0.486607509900148,0.245663305668864,0.48453403730311,0.789129400687121,0.753703681513115,0.236621463187538,0.521512271806015,0.679136293381013,0.0827863013647262,0.0723026749148045,0,0.317525493248155,0.626024386935787,0.502365862041005,0.0798605824081762,0.197596718702774,0.550636405458149,0.379833112928246,0.75833670630385,0.74687885336061,0.828392128734983,0.23720535623337,0.362244713965645,0.500544530327907,0.504833615342144,0.0259994264307298,0.0505489553511975,0.263718536849521,0.431501816453898,0.114933440458613,0.235927881309813,0.427534699641564,0.641790740597763,0.928643790122368,0.625932978527674,0.844549701489443,0.756310743616576,0.357380060930546,0.582296900421451,0.626812865673065,0.165407711105177,0.500270417900458,0.521457706298056,0.371688142012696,0.489295147546223,0.651653140128924,0.961769000980059,1,0.910556446097478,0.95022465423506,0.701541908027735,0.841097097843127,0.794925702910634,0.837586298724528,0.76664644486404
"working",0.402304747317186,0.491161874419026,0.25472319088181,0.193318579021933,0.435556339129413,0.52396983688924,0.382065163132201,0.296958267427557,0.228769796127353,0.194417318348092,0.34102400523337,0.653166276271067,0.516585762546722,0.404226526399931,0.455484405056743,0.38660923650518,0.259100176459612,0.345878112554906,0.257340474340376,0.108107718765497,0.277638828295343,0.46151748438442,0.419838933548078,0.405440228520981,0.696780704874325,0.785687868528755,0.744515935646528,0.740101930527236,0.601360160393921,0.615014353079171,0.556835908213787,0.381336565133207,0.267345452258146,0.285451361428068,0.127063213931338,0.38530718174561,0.340331527805762,0.605638984461953,0.605048742901046,0.433318391409819,0.396300013436287,0.57977672665881,0.630135263839736,0.545346502632886,0.49520929174992,0.53777360325261,0.532042389865427,0.256972358235016,0.340398583760091,0.247081932319109,0.490663532679694,0.439270194989229,0.394547851830149,0.515523123527178,0.409350196738631,0.326565774363567,0.539028455488618,0.41233768546004,0.453035008492037,0.423696342049631,0.335806493209226,0.411409113845455,0.316755680005865,0.34302748071836,0.368622701161328,0.340104958799683,0.423348448991378,0.364656535651515,0.383434781623357,0.449357122329226,0.385661356281364
